PATH,UID,ZB
ALL-OPCOS,GROUP\ACC_I_99902128,"GROUP\R886974,GROUP\R888280"
ESSENT\DEPT\ADMCOO,GROUP\ACC_I_99901886,GROUP\RE56798
ESSENT\DEPT\ADMEXEC,GROUP\ACC_I_99901887,GROUP\RE54384
ESSENT\DEPT\ADMFACT,GROUP\ACC_I_99901888,GROUP\RE55082
ESSENT\DEPT\ADMLEG,GROUP\ACC_I_99901889,GROUP\RE40030
ESSENT\DEPT\ADMSHAREPOINT,GROUP\ACC_I_99901890,"GROUP\R503808,GROUP\RE55130"
ESSENT\DEPT\ALGEMEEN,GROUP\ACC_I_99901891,"GROUP\RE55130,GROUP\RE56742,GROUP\RE58112"
ESSENT\DEPT\AOIP,GROUP\ACC_I_99901892,GROUP\R502887
ESSENT\DEPT\ASSET-ANALYSIS,GROUP\ACC_I_99901893,GROUP\R916650
ESSENT\DEPT\ASSET-TRADING,GROUP\ACC_I_99901894,GROUP\R916650
ESSENT\DEPT\B2BEMGSHARE,GROUP\ACC_I_99901895,GROUP\R500724
ESSENT\DEPT\BIOFUEL-TRADING,GROUP\ACC_I_99901896,GROUP\RE40231
ESSENT\DEPT\BOC,GROUP\ACC_I_99901897,"GROUP\R503528,GROUP\RE53830"
ESSENT\DEPT\BOC_AO-IC,GROUP\ACC_I_99901899,GROUP\RE53830
ESSENT\DEPT\BOCEET,GROUP\ACC_I_99901898,"GROUP\R503528,GROUP\RE53830"
ESSENT\DEPT\BRIEVEN,GROUP\ACC_I_99901900,GROUP\R500736
ESSENT\DEPT\BUSINESSC-MGT,GROUP\ACC_I_99901901,GROUP\RE53791
ESSENT\DEPT\CAO_PWR_BENELUX,GROUP\ACC_I_99901903,GROUP\RE40474
ESSENT\DEPT\CAO-POWER-REPORT,GROUP\ACC_I_99901902,"GROUP\R503655,GROUP\RE71059"
ESSENT\DEPT\CAPITAL-AND-STRUCTURED-TRADING,GROUP\ACC_I_99901904,DIVISIONS\AKUIJK1
ESSENT\DEPT\CAPITAL-TRADING,GROUP\ACC_I_99901905,DIVISIONS\AKUIJK1
ESSENT\DEPT\CMT,GROUP\ACC_I_99901906,GROUP\RE55082
ESSENT\DEPT\COAL-POSITION,GROUP\ACC_I_99901907,GROUP\R916650
ESSENT\DEPT\COMCT,GROUP\ACC_I_99901908,"GROUP\RE40439,GROUP\RE57324"
ESSENT\DEPT\COMMON,GROUP\ACC_I_99901909,"GROUP\RE55130,GROUP\RE56742,GROUP\RE58112"
ESSENT\DEPT\CREDIT-AND-LEGAL,GROUP\ACC_I_99901910,GROUP\RE54397
ESSENT\DEPT\DAILY-REPORT-TRADING,GROUP\ACC_I_99901911,GROUP\RE54384
ESSENT\DEPT\DATA-MANAGEMENT-GENEVA,GROUP\ACC_I_99901912,GROUP\RE40172
ESSENT\DEPT\DEAL-MACHINE,GROUP\ACC_I_99901913,GROUP\R502848
ESSENT\DEPT\DYNAMIC,GROUP\ACC_I_99901914,GROUP\RE71059
ESSENT\DEPT\EAT-PRO-X-DOCUMENTATIE,GROUP\ACC_I_99901916,GROUP\RE58112
ESSENT\DEPT\EAT-SHARED,GROUP\ACC_I_99901917,GROUP\RE58112
ESSENT\DEPT\EDI-DOCUMENTATION,GROUP\ACC_I_99901918,GROUP\R502537
ESSENT\DEPT\EEM,GROUP\ACC_I_99901919,GROUP\R503488
ESSENT\DEPT\EMG-FORWARDS,GROUP\ACC_I_99901920,GROUP\RE67506
ESSENT\DEPT\EMG-GAS-PROCUREMENT-AND-TRANSPORT,GROUP\ACC_I_99901921,GROUP\R916650
ESSENT\DEPT\EMG-STROOMLIJNEN-PROJECT,GROUP\ACC_I_99901922,GROUP\R502848
ESSENT\DEPT\EPE,GROUP\ACC_I_99901923,GROUP\RE54717
ESSENT\DEPT\ESSENT-TRADING-AND-OPTIMIZATION,GROUP\ACC_I_99901924,GROUP\R916650
ESSENT\DEPT\ESSENT-TRADING-PRESENTATIONS,GROUP\ACC_I_99901925,GROUP\RE35294
ESSENT\DEPT\ET_HR_COMP_BEN,GROUP\ACC_I_99901928,"RWESTSA\ANNE.GOULAY,RWESTSA\laure.giauque"
ESSENT\DEPT\ETOSS,GROUP\ACC_I_99901926,GROUP\RE55130
ESSENT\DEPT\FACILITIES-AND-SERVICES-MANAGEMENT,GROUP\ACC_I_99901930,RWESTSA\Josiane.silva
ESSENT\DEPT\FINANCE,GROUP\ACC_I_99901931,"GROUP\RE53830,GROUP\RE71118"
ESSENT\DEPT\FORECASTING,GROUP\ACC_I_99901933,GROUP\R504679
ESSENT\DEPT\FOREIGNEXCHANGE,GROUP\ACC_I_99901934,GROUP\RE67506
ESSENT\DEPT\FOSSIL-CERTIFICATES,GROUP\ACC_I_99901935,GROUP\R500736
ESSENT\DEPT\FUEL-DESK,GROUP\ACC_I_99901936,GROUP\R916650
ESSENT\DEPT\FUEL-MODEL-AMER,GROUP\ACC_I_99901937,GROUP\RE40192
ESSENT\DEPT\GAS,GROUP\ACC_I_99901938,GROUP\RE40093
ESSENT\DEPT\GAS-POSITION,GROUP\ACC_I_99901939,GROUP\R916650
ESSENT\DEPT\GAS-SOURCING,GROUP\ACC_I_99901940,GROUP\RE53382
ESSENT\DEPT\GAS-TRADING,GROUP\ACC_I_99901941,GROUP\R916650
ESSENT\DEPT\GATE_LNG_TEAM,GROUP\ACC_I_99901943,GROUP\R503642
ESSENT\DEPT\GATELNG,GROUP\ACC_I_99901942,GROUP\R503642
ESSENT\DEPT\GLOBAL-COMMODITIES,GROUP\ACC_I_99901944,GROUP\RE40231
ESSENT\DEPT\GREENTRADING,GROUP\ACC_I_99901945,GROUP\RE53382
ESSENT\DEPT\GUITA,GROUP\ACC_I_99902279,GROUP\R504440
ESSENT\DEPT\GVAPI_PROJECT_DIAMOND,GROUP\ACC_I_99902273,GROUP\RE56798GROUP\RE66851